famille;produit;cote_2026;derniere_vente;adj_min;adj_max;nb_adj;vivante;adjudications (date:prix);id
VEP;Chartreuse Verte V.E.P. Mise 2022 1L.;374.69;2025-07-18;286.0;346.0;4;oui;2025-04-18:286 | 2025-06-06:310 | 2025-06-06:310 | 2025-07-18:346;187789
VEP;Chartreuse Verte V.E.P. Mise 2023 1L.;389.1;2026-07-17;322.0;429.0;4;oui;2025-07-18:358 | 2025-07-18:405 | 2025-11-14:322 | 2026-07-17:429;215990
VEP;Chartreuse Verte V.E.P. Mise 2024 1L.;405.28;2026-07-17;298.0;477.0;4;oui;2025-04-18:298 | 2026-03-13:477 | 2026-06-12:405 | 2026-07-17:405;233023
Éditions limitées;Chartreuse Episcopale du IIIe Millénaire 1L.;1370.8;2026-04-24;1013.0;1609.0;4;oui;2025-04-18:1013 | 2025-06-06:1609 | 2025-11-14:1311 | 2026-04-24:1371;178566
Éditions limitées;Chartreuse Fous de Chartreuse Mise 2018 - One of 400 1L.;518.79;2025-04-18;429.0;429.0;1;oui;2025-04-18:429;234704
Éditions limitées;Chartreuse Fous de Chartreuse Mise 2020 50cl.;208.6;2024-11-15;167.0;191.0;3;non;2024-03-08:167 | 2024-11-15:167 | 2024-11-15:191;231238
Éditions limitées;Chartreuse Fous de Chartreuse Mise 2021 35cl.;131.86;2024-03-08;103.0;108.0;2;non;2024-03-08:108 | 2024-03-08:103;231239
Éditions limitées;Chartreuse Fous de Chartreuse Mise 2022 1L.;447.01;2024-11-15;358.0;358.0;1;non;2024-11-15:358;232901
Éditions limitées;Chartreuse Fous de Chartreuse Mise 2022 35cl.;126.65;2024-11-15;89.0;107.0;4;non;2024-11-15:107 | 2024-11-15:89 | 2024-11-15:101 | 2024-11-15:101;232885
Éditions limitées;Chartreuse Fous de Chartreuse Mise 2023 35cl.;111.75;2024-11-15;83.0;95.0;4;non;2024-11-15:89 | 2024-11-15:95 | 2024-11-15:83 | 2024-11-15:89;232900
Éditions limitées;Chartreuse Fous de Chartreuse Mise 2023 70cl.;432.1;2024-11-15;346.0;346.0;1;non;2024-11-15:346;232902
Éditions limitées;Chartreuse Jaune - Reine des Liqueurs Mise 2017 - 1084 bouteilles marché export;518.79;2025-03-14;429.0;453.0;2;oui;2024-11-15:453 | 2025-03-14:429;233059
Éditions limitées;Chartreuse Jaune - Reine des Liqueurs Mise 2018 - 2018 bouteilles;432.33;2025-03-14;354.0;401.0;3;oui;2022-11-04:354 | 2023-03-17:401 | 2025-03-14:358;206590
Éditions limitées;Chartreuse Jaune - Reine des Liqueurs Mise 2019 - 1300 bouteilles marché export;387.4;2024-03-08;310.0;322.0;4;non;2024-03-08:322 | 2024-03-08:310 | 2024-03-08:322 | 2024-03-08:310;231248
